title,authors,editor
Adaptive Latent Feature Sharing for Piecewise Linear Dimensionality Reduction,"[{'name': 'Adam Farooq', 'affiliation': ['Department of Mathematics', 'Aston University', 'Birmingham, UK']}, {'name': 'Yordan P. Raykov', 'affiliation': ['School of Mathematical Sciences', 'University of Nottingham', 'Nottingham, UK']}, {'name': 'Petar Raykov', 'affiliation': ['MRC Cognition and Brain Sciences Unit', 'University of Cambridge', 'Cambridge, UK']}, {'name': 'Max A. Little', 'affiliation': ['Department of Computer Science', 'University of Birmingham', 'Birmingham, UK']}]", Barbara Engelhardt
Adaptivity and Non-stationarity  Problem-dependent Dynamic Regret for Online Convex Optimization,"[{'name': 'Peng Zhao', 'affiliation': ['National Key Laboratory for Novel Software Technology', 'Nanjing University, Nanjing 210023, China']}, {'name': 'Yu-Jie Zhang', 'affiliation': ['National Key Laboratory for Novel Software Technology', 'Nanjing University, Nanjing 210023, China']}, {'name': 'Lijun Zhang', 'affiliation': ['National Key Laboratory for Novel Software Technology', 'Nanjing University, Nanjing 210023, China']}, {'name': 'Zhi-Hua Zhou', 'affiliation': ['National Key Laboratory for Novel Software Technology', 'Nanjing University, Nanjing 210023, China']}]", Csaba Szepesvari
Additive smoothing error in backward variational inference for general state-space models,"[{'name': 'Mathis Chagneux', 'affiliation': ['LTCI', 'T´el´ecom Paris', 'Palaiseau, France']}, {'name': '´Elisabeth Gassiat', 'affiliation': ['Universit´e Paris-Saclay, CNRS', 'Laboratoire de math´ematiques d’Orsay']}, {'name': 'Pierre Gloaguen', 'affiliation': ['Universit Bretagne-Sud', 'Lorient, France']}, {'name': 'Sylvain Le Corﬀ', 'affiliation': ['LPSM', 'Sorbonne Universit´e, UMR CNRS 8001', 'Paris, France']}]", Anthony Lee
Adjusted Wasserstein Distributionally Robust Estimator in Statistical Learning,"[{'name': 'Yiling Xie', 'affiliation': ['School of Industrial and Systems Engineering', 'Georgia Institute of Technology', 'Atlanta, Georgia, USA']}, {'name': 'Xiaoming Huo', 'affiliation': ['School of Industrial and Systems Engineering', 'Georgia Institute of Technology', 'Atlanta, Georgia, USA']}]", Po-Ling Loh
Almost Sure Convergence Rates Analysis and Saddle Avoidance of Stochastic Gradient Methods,"[{'name': 'Jun Liu', 'affiliation': ['Department of Applied Mathematics, University of Waterloo, Waterloo, Canada']}, {'name': 'Ye Yuan', 'affiliation': ['School of Artiﬁcial Intelligence and Automation, Huazhong University of Science and Technology,', 'Wuhan, China']}]", Lam Nguyen
An Algorithm with Optimal Dimension-Dependence for Zero-Order Nonsmooth Nonconvex Stochastic Optimization,"[{'name': 'Guy Kornowski', 'affiliation': ['Department of Computer Science and Applied Mathematics', 'Weizmann Institute of Science', 'Rehovot, Israel']}, {'name': 'Ohad Shamir', 'affiliation': ['Department of Computer Science and Applied Mathematics', 'Weizmann Institute of Science', 'Rehovot, Israel']}]", Francesco Orabona
An Algorithmic Framework for the Optimization of Deep Neural Networks Architectures and Hyperparameters,"[{'name': 'Julie Keisler', 'affiliation': ['EDF Lab Paris-Saclay', 'Bd Gaspard Monge, 91120 Palaiseau', 'University of Lille & INRIA', '170 Av. de Bretagne, 59000 Lille']}, {'name': 'El-Ghazali Talbi', 'affiliation': ['University of Lille & INRIA', '170 Av. de Bretagne, 59000 Lille']}, {'name': 'Sandra Claudel', 'affiliation': ['EDF Lab Paris-Saclay', 'Bd Gaspard Monge, 91120 Palaiseau']}, {'name': 'Gilles Cabriel', 'affiliation': ['EDF Lab Paris-Saclay', 'Bd Gaspard Monge, 91120 Palaiseau']}]", Ruslan Salakhutdinov
An Analysis of Quantile Temporal-Difference Learning,"[{'name': 'Mark Rowland', 'affiliation': ['Google DeepMind, London, UK']}, {'name': 'R´emi Munos', 'affiliation': ['Google DeepMind, Paris, France']}, {'name': 'Mohammad Gheshlaghi Azar', 'affiliation': ['Google DeepMind, Seattle, USA']}, {'name': 'Yunhao Tang', 'affiliation': ['Google DeepMind, London, UK']}, {'name': 'Georg Ostrovski', 'affiliation': ['Google DeepMind, London, UK']}, {'name': 'Anna Harutyunyan', 'affiliation': ['Google DeepMind, London, UK']}, {'name': 'Karl Tuyls', 'affiliation': ['Google DeepMind, Paris, France']}, {'name': 'Marc G. Bellemare', 'affiliation': ['Reliant AI & McGill University, Montr´eal, Canada']}, {'name': 'Will Dabney', 'affiliation': ['Google DeepMind, Seattle, USA']}]", Alexandre Proutiere
An Asymptotic Study of Discriminant and Vote-Averaging Schemes for Randomly-Projected Linear Discriminants,"[{'name': 'Lama B. Niyazi', 'affiliation': ['King Abdullah University of Science and Technology', 'Thuwal, Saudi Arabia']}, {'name': 'Abla Kammoun', 'affiliation': ['King Abdullah University of Science and Technology', 'Thuwal, Saudi Arabia']}, {'name': 'Hayssam Dahrouj', 'affiliation': ['University of Sharjah', 'Sharjah, United Arab Emirates']}, {'name': 'Mohamed-Slim Alouini', 'affiliation': ['King Abdullah University of Science and Technology', 'Thuwal, Saudi Arabia']}, {'name': 'Tareq Y. Al-Naﬀouri', 'affiliation': ['King Abdullah University of Science and Technology', 'Thuwal, Saudi Arabia']}]", Marc Schoenauer
An Embedding Framework for the Design and Analysis of Consistent Polyhedral Surrogates,"[{'name': 'Jessie Finocchiaro', 'affiliation': ['Department of Computer Science', 'Boston College', 'Chestnut Hill, MA, USA']}, {'name': 'Rafael M. Frongillo', 'affiliation': ['Department of Computer Science', 'University of Colorado Boulder', 'Boulder, CO, USA']}, {'name': 'Bo Waggoner', 'affiliation': ['Department of Computer Science', 'University of Colorado Boulder', 'Boulder, CO, USA']}]", Tong Zhang
An Entropy-Based Model for Hierarchical Learning,"[{'name': 'Amir R. Asadi', 'affiliation': ['Statistical Laboratory,', 'Centre for Mathematical Sciences,', 'University of Cambridge,', 'Cambridge CB3 0WA', 'United Kingdom']}]", Gabor Lugosi
An Inexact Projected Regularized Newton Method for Fused Zero-norms Regularization  Problems,"[{'name': 'Yuqia Wu', 'affiliation': ['Department of Applied Mathematics', 'The Hong Kong Polytechnic University', 'Kowloon, Hong Kong']}, {'name': 'Shaohua Pan', 'affiliation': ['School of Mathematics', 'South China University of Technology', 'Guangzhou, China']}, {'name': 'Xiaoqi Yang', 'affiliation': ['Department of Applied Mathematics', 'The Hong Kong Polytechnic University', 'Kowloon, Hong Kong']}]", Silvia Villa
An Optimal Transport Approach for Computing Adversarial Training Lower Bounds in Multiclass Classification,"[{'name': 'Nicol´as Garc´ıa Trillos', 'affiliation': ['Department of Statistics', 'University of Wisconsin-Madison', '1300 University Avenue, Madison, Wisconsin 53706, USA']}, {'name': 'Matt Jacobs', 'affiliation': ['Department of Mathematics', 'UC Santa Barbara', '552 University Rd, Isla Vista, CA 93117, USA']}, {'name': 'Jakwang Kim', 'affiliation': ['Department of Mathematics', 'University of British Columbia', '1984 Mathematics Road, Vancouver, British Columbia, V6T 1Z2, Canada']}, {'name': 'Matthew Werenski', 'affiliation': ['Department of Computer Science', 'Tufts University', '420 Joyce Cummings Center, 177 College Avenue, Medford, MA 02155, USA']}]", Zaid Harchaoui
Approximate Bayesian inference from noisy likelihoods with Gaussian process emulated MCMC,"[{'name': 'Marko J¨arvenp¨a¨a', 'affiliation': ['Department of Biostatistics, University of Oslo, Norway']}, {'name': 'Jukka Corander', 'affiliation': ['Department of Biostatistics, University of Oslo, Norway', 'Department of Mathematics and Statistics, University of Helsinki, Finland', 'Wellcome Sanger Institute, United Kingdom']}]", John Cunningham
Approximate Information Tests on Statistical Submanifolds,"[{'name': 'Michael W. Trosset', 'affiliation': ['Department of Statistics', 'Indiana University', 'Bloomington, IN 47408, USA']}, {'name': 'Carey E. Priebe', 'affiliation': ['Department of Applied Mathematics & Statistics', 'Johns Hopkins University', 'Baltimore, MD 21218-2682, USA']}]", Edo Airoldi
Assessing the Overall and Partial Causal Well-Specification of Nonlinear Additive Noise Models,"[{'name': 'Christoph Schultheiss', 'affiliation': ['Seminar for Statistics', 'ETH Z¨urich', 'Z¨urich, 8092, CH']}, {'name': 'Peter B¨uhlmann', 'affiliation': ['Seminar for Statistics', 'ETH Z¨urich', 'Z¨urich, 8092, CH']}]", Jin Tian
Axiomatic effect propagation in structural causal models,"[{'name': 'Raghav Singal', 'affiliation': ['Operations and Management Science', 'Tuck School of Business at Dartmouth College', 'Hanover, NH 03755, USA']}, {'name': 'George Michailidis', 'affiliation': ['Department of Statistics and Data Science', 'University of California, Los Angeles', 'Los Angeles, CA 90095, USA']}]", Mladen Kolar
Bagging Provides Assumption-free Stability,"[{'name': 'Jake A. Soloﬀ', 'affiliation': ['Department of Statistics', 'University of Chicago', '5747 S Ellis Ave', 'Chicago, IL 60637, USA']}, {'name': 'Rina Foygel Barber', 'affiliation': ['Department of Statistics', 'University of Chicago', '5747 S Ellis Ave', 'Chicago, IL 60637, USA']}, {'name': 'Rebecca Willett', 'affiliation': ['Departments of Statistics and Computer Science', 'University of Chicago', '5735 S Ellis Ave', 'Chicago, IL 60637, USA']}]", Samory Kpotufe
Bayesian Regression Markets,"[{'name': 'Thomas Falconer', 'affiliation': ['Technical University of Denmark', 'Kgs. Lyngby, 2800, Denmark']}, {'name': 'Jalal Kazempour', 'affiliation': ['Technical University of Denmark', 'Kgs. Lyngby, 2800, Denmark']}, {'name': 'Pierre Pinson', 'affiliation': ['Dyson School of Design Engineering', 'Imperial College London', 'London, SW7 2DB, United Kingdom']}]", Amos Storkey
Bayesian Structural Learning with Parametric Marginals for Count Data  An Application to Microbiota Systems,"[{'name': 'Veronica Vinciotti', 'affiliation': ['Department of Mathematics', 'University of Trento', 'Italy']}, {'name': 'Pariya Behrouzi', 'affiliation': ['Applied Mathematics and Statistics Group', 'Wageningen University and Research', 'Netherlands']}, {'name': 'Reza Mohammadi', 'affiliation': ['Department of Business Analytics', 'Amsterdam Business School', 'University of Amsterdam, Netherlands']}]", Samuel Kaski
Black Box Variational Inference with a Deterministic Objective  Faster  More Accurate  and Even More Black Box,"[{'name': 'Ryan Giordano', 'affiliation': ['Department of Statistics', 'University of California', 'Berkeley, CA, USA']}, {'name': 'Martin Ingram', 'affiliation': ['Department of Biosciences', 'University of Melbourne', 'Parkville, VIC 3010, Australia']}, {'name': 'Tamara Broderick', 'affiliation': ['Department of Electrical Engineering and Computer Science', 'Massachusetts Institute of Technology', 'Cambridge, MA, USA']}]", Matthew Hoﬀman
